REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,EDUCATION_LEVEL,Education Level,WEALTH_QUINTILE,Wealth Quintile,RESIDENCE,Residence,UNIT_MEASURE,Unit of measure,UNIT_MULTIPLIER,Unit multiplier,SOURCE_LINK,SERIES_FOOTNOTE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation Status,DATA_SOURCE,OBS_CONF,Observation confidentaility,TIME_PERIOD_METHOD,Time period activity related to when the data are collected,COVERAGE_TIME,OBS_FOOTNOTE,FREQ_COLL,Time interval at which the source data are collected
AFG,Afghanistan,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2015,72.725258,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2015,42.885769,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2015,69.791,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2015,64.022758,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2015,63.875,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2015,54.083179,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2015,39.933971,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2015,62.708981,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2015,44.534229,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2015,57.790981,,,DHS 2015,,,,,,,0,Not Known
AGO,Angola,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,35.406719,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,21.0751,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2016,58.480492,,,DHS 2015-16,,,,,,,0,Not Known
